entrezID	gene
401944	LDLRAD2
3339	HSPG2
23436	CELA3B
10136	CELA3A
101928043	LINC01635
29092	LINC00339
998	CDC42
54361	WNT4
105376845	
100616433	MIR4418
9923	ZBTB40
2046	EPHA8
102466615	MIR6127
712	C1QA
714	C1QC
713	C1QB
2048	EPHB2
100616391	MIR4684
100422914	MIR4253
646262	LACTBL1
729059	TEX46
23028	KDM1A
100422866	MIR3115
7798	LUZP1
3352	HTR1D
10236	HNRNPR
80818	ZNF436
6920	TCEA3
55616	ASAP3
1870	E2F2
3399	ID3
259283	MDS2
6135	RPL11
100506963	ELOA-AS1
6924	ELOA
57095	PITHD1
11313	LYPLA2
2582	GALE
3155	HMGCL
2517	FUCA1
1269	CNR2
100616492	MIR378F
55629	PNRC2
10772	SRSF10
127294	MYOM3
58985	IL22RA1
163702	IFNLR1
284632	LINC02800
57822	GRHL3
90529	STPG1
57185	NIPAL3
100750325	RCAN3AS
11123	RCAN3
400746	NCMAP
10250	SRRM1
25932	CLIC4
864	RUNX3
102465437	MIR6731
100616365	MIR4425
105376879	LINC02793
25949	SYF2
57035	RSRP1
6007	RHD
23585	TMEM50A
6006	RHCE
55219	MACO1
26119	LDLRAP1
57134	MAN1C1
57190	SELENON
56181	MTFR1L
79000	AUNIP
164091	PAQR7
3925	STMN1
100500808	MIR3917
5051	PAFAH2
2134	EXTL1
7780	SLC30A2
84676	TRIM63
149420	PDIK1L
79927	FAM110D
110806296	C1orf232
51042	ZNF593
10256	CNKSR1
378807	CATSPER4
101928303	ZPLD2P
64793	CEP85
83442	SH3BGRL3
91544	UBXN11
1043	CD52
55057	CRYBG2
257101	ZNF683
79727	LIN28A
79947	DHDDS
3151	HMGN2
6195	RPS6KA1
100302190	MIR1976
101928728	
8289	ARID1A
55650	PIGV
84243	ZDHHC18
2810	SFN
54707	GPN2
63906	GPATCH3
10726	NUDC
8431	NR0B2
126695	KDF1
388610	TRNP1
115572	TENT5B
6548	SLC9A1
23038	WDTC1
84065	TMEM222
84958	SYTL1
9064	MAP3K6
8547	FCN3
388611	CD164L2
2827	GPR3
10163	WASF2
27245	AHDC1
2268	FGR
111216282	LINC02574
2537	IFI6
199870	FAM76A
23673	STX12
5511	PPP1R8
677774	SCARNA1
9473	THEMIS2
6118	RPA2
27293	SMPDL3B
55113	XKR8
2140	EYA3
5724	PTAFR
22826	DNAJC8
93974	ATP5IF1
83667	SESN2
54797	MED18
65979	PHACTR4
1104	RCC1
8420	SNHG3
26768	SNORA73B
54952	TRNAU1AP
85028	SNHG12
692212	SNORD99
677838	SNORA61
677825	SNORA44
692073	SNORA16A
6883	TAF12
115273	RAB42
105378616	LINC01715
26824	RNU11
10691	GMEB1
51441	YTHDF2
4985	OPRD1
2035	EPB41
399474	TMEM200B
6429	SRSF4
51102	MECR
10076	PTPRU
101928460	LINC01756
101929406	LINC01648
4146	MATN1
100129196	MATN1-AS1
7805	LAPTM5
100616164	MIR4420
9672	SDC3
9698	PUM1
79570	NKAIN1
9410	SNRNP40
51538	ZCCHC17
2170	FABP3
347735	SERINC2
149086	LDC1P
64129	TINAGL1
3061	HCRTR1
553115	PEF1
1307	COL16A1
576	ADGRB2
100423028	MIR4254
90853	SPOCD1
8073	PTP4A2
10657	KHDRBS1
55116	TMEM39B
100847018	MIR5585
23633	KPNA6
200081	TXLNA
79140	CCDC28B
55721	IQCC
149069	DCDC2B
56063	TMEM234
8668	EIF3I
84734	FAM167B
3932	LCK
3065	HDAC1
65108	MARCKSL1
81629	TSSK3
100128071	FAM229A
55108	BSDC1
728116	ZBTB8B
653121	ZBTB8A
339487	ZBTB8OS
5928	RBBP4
81493	SYNC
57648	KIAA1522
8565	YARS1
64766	S100PBP
252995	FNDC5
3208	HPCA
113452	TMEM54
127544	RNF19B
204	AK2
113451	AZIN2
55223	TRIM62
149076	ZNF362
127550	A3GALT2
1912	PHC2
100500853	MIR3605
101929464	PHC2-AS1
7579	ZSCAN20
114784	CSMD2
127540	HMGB4
402779	CSMD2-AS1
84970	C1orf94
693137	MIR552
113444	SMIM12
2709	GJB5
127534	GJB4
2707	GJB3
2701	GJA4
58512	DLGAP3
653160	GPR199P
100506144	TMEM35B
9204	ZMYM6
79830	ZMYM1
6421	SFPQ
9202	ZMYM4
100861513	ZMYM4-AS1
79932	KIAA0319L
23154	NCDN
339488	TFAP2E
5690	PSMB2
127703	C1orf216
63967	CLSPN
192670	AGO4
26523	AGO1
192669	AGO3
27285	TEKT2
54936	ADPRS
1296	COL8A2
27095	TRAPPC3
55700	MAP7D1
9967	THRAP3
79729	SH3D21
55194	EVA1B
83931	STK40
84967	LSM10
127700	OSCP1
109616970	SNORA63C
64960	MRPS15
1441	CSF3R
2899	GRIK3
100422898	MIR4255
728431	LINC01137
80149	ZC3H12A
102465438	MIR6732
64769	MEAF6
100847010	MIR5581
79753	SNIP1
7802	DNALI1
29889	GNL2
284654	RSPO1
54955	C1orf109
55143	CDCA8
284656	EPHA10
149175	MANEAL
79693	YRDC
127687	C1orf122
4520	MTF1
3633	INPP5B
10946	SF3A3
2275	FHL3
51118	UTP11
5453	POU3F1
100500801	MIR3659
339442	LINC01343
64121	RRAGC
26292	MYCBP
81025	GJA9
54933	RHBDL2
79647	AKIRIN1
4725	NDUFS5
23499	MACF1
353500	BMP8A
728448	PPIEL
8761	PABPC4
677834	SNORA55
26508	HEYL
84618	NT5C1A
51440	HPCAL4
10450	PPIE
656	BMP8B
64064	OXCT2
105378666	BMP8B-AS1
101929536	
54802	TRIT1
4610	MYCL
105378668	MYCL-AS1
84879	MFSD2A
10487	CAP1
5538	PPT1
6018	RLF
127391	TMCO2
10269	ZMPSTE24
1298	COL9A2
64744	SMAP2
65243	ZFP69B
339559	ZFP69
64789	EXO5
127396	ZNF684
9783	RIMS3
4802	NFYC
407034	MIR30E
407031	MIR30C1
9132	KCNQ4
163732	CITED4
1503	CTPS1
100507178	SLFNL1-AS1
200172	SLFNL1
22955	SCMH1
100132074	FOXO6
101929901	FOXO6-AS1
1907	EDN2
59269	HIVEP3
2981	GUCA2B
2980	GUCA2A
22887	FOXJ3
284716	RIMKLA
84217	ZMYND12
79717	PPCS
728621	CCDC30
10465	PPIH
4904	YBX1
149461	CLDN19
64175	P3H1
79078	C1orf50
100129924	TMEM269
374969	SVBP
114625	ERMAP
51058	ZNF691
6513	SLC2A1
440584	SLC2A1-AS1
440585	FAM183A
10969	EBNA1BP2
102465439	MIR6733
149465	CFAP57
128218	TMEM125
149466	C1orf210
7075	TIE1
4352	MPL
991	CDC20
64834	ELOVL1
102466723	MIR6734
112950	MED8
23334	SZT2
100873952	SZT2-AS1
102465440	MIR6735
81888	HYI
5792	PTPRF
9682	KDM4A
6487	ST3GAL3
101929592	ST3GAL3-AS1
102464830	MIR6079
9048	ARTN
9670	IPO13
1802	DPH2
533	ATP6V0B
8704	B4GALT2
149473	CCDC24
6536	SLC6A9
128209	KLF17
105378952	KLF18
55929	DMAP1
79033	ERI3
100874278	ERI3-IT1
55182	RNF220
100847089	MIR5584
79639	TMEM53
339541	ARMH1
26828	RNU5F-1
11004	KIF2C
6202	RPS8
26811	SNORD55
94161	SNORD46
94162	SNORD38A
94163	SNORD38B
266675	BEST4
1263	PLK3
343521	TCTEX1D4
149478	BTBD19
8643	PTCH2
8891	EIF2B3
79654	HECTD3
7389	UROD
57643	ZSWIM5
400752	LINC01144
84842	HPDL
4595	MUTYH
114034	TOE1
10420	TESK2
126661	CCDC163
25974	MMACHC
5052	PRDX1
10327	AKR1A1
4678	NASP
149483	CCDC17
60313	GPBP1L1
51249	TMEM69
3652	IPP
23139	MAST2
8503	PIK3R3
110117499	P3R3URF-PIK3R3
101929626	
10103	TSPAN1
110117498	P3R3URF
55624	POMGNT1
541468	LURAP1
8438	RAD54L
10489	LRRC41
7388	UQCRH
387338	NSUN4
2166	FAAH
101929651	LINC01398
127343	DMBX1
105378696	TMEM275
100507423	MKNK1-AS1
148930	KNCN
8569	MKNK1
148932	MOB3C
64756	ATPAF1
374973	TEX38
100130197	EFCAB14-AS1
9813	EFCAB14
1580	CYP4B1
163720	CYP4Z2P
1579	CYP4A11
260293	CYP4X1
199974	CYP4Z1
284541	CYP4A22
100874253	LINC00853
10158	PDZK1IP1
6886	TAL1
6491	STIL
51727	CMPK1
2301	FOXE3
84793	FOXD2-AS1
2306	FOXD2
107984953	LINC01738
388630	TRABD2B
200010	SLC5A9
54558	SPATA6
84871	AGBL4
79656	BEND5
101929721	AGBL4-AS1
100874313	AGBL4-IT1
1996	ELAVL4
105378712	LINC02808
63950	DMRTA2
11124	FAF1
1031	CDKN2C
100616189	MIR4421
102466656	MIR6500
284546	C1orf185
105378716	LINC01562
26994	RNF11
22996	TTC39A
2060	EPS15
114883	OSBPL9
4898	NRDC
100313892	MIR761
5865	RAB3B
51060	TXNDC12
112970	KTI12
104355143	TXNDC12-AS1
91408	BTF3L4
9372	ZFYVE9
200014	CC2D1B
4998	ORC1
84950	PRPF38A
23318	TUT4
2882	GPX7
348378	SHISAL2A
65260	COA7
79699	ZYG11B
440590	ZYG11A
55268	ECHDC2
6342	SCP2
127435	PODN
6512	SLC1A7
1376	CPT2
54987	CZIB
4116	MAGOH
100507564	
7804	LRP8
105378732	LINC01771
163742	SLC25A3P1
63948	DMRTB1
148979	GLIS1
55706	NDC1
54432	YIPF1
1733	DIO1
51668	HSPB11
115353	LRRC42
388633	LDLRAD1
9528	TMEM59
127428	TCEANC2
100616315	MIR4781
200008	CDCP2
606495	CYB5RL
51253	MRPL37
23648	SSBP3
619518	SSBP3-AS1
26027	ACOT11
338094	FAM151A
374977	MROH7
7268	TTC4
25973	PARS2
55001	TTC22
163747	LEXM
1718	DHCR24
105378736	
199964	TMEM61
7809	BSND
255738	PCSK9
23358	USP24
109729135	MIR4422HG
100616272	MIR4422
105378738	LINC01755
105378739	LINC01753
105378744	LINC01767
8613	PLPP3
5563	PRKAA2
199920	FYB2
731	C8A
732	C8B
1600	DAB1
101926890	DAB1-AS1
115209	OMA1
4070	TACSTD2
114803	MYSM1
3725	JUN
105378753	LINC02777
729467	
55277	FGGY
100616409	MIR4711
51361	HOOK1
1573	CYP2J2
127795	C1orf87
105378763	LINC01748
101926964	
4774	NFIA
100996570	NFIA-AS2
645030	NFIA-AS1
83941	TM2D1
10207	PATJ
100422902	MIR3116-1
100422946	MIR3116-2
54596	L1TD1
163782	KANK4
7398	USP1
85440	DOCK7
27329	ANGPTL3
84938	ATG4C
105378769	LINC01739
100996301	FOXD3-AS1
27022	FOXD3
102464823	MIR6068
29929	ALG6
23421	ITGB3BP
102724319	
84455	EFCAB7
5236	PGM1
4919	ROR1
101927034	ROR1-AS1
148581	UBE2U
57685	CACHD1
100616338	MIR4794
55225	RAVER2
3716	JAK1
100500854	MIR3671
406893	MIR101-1
205	AK4
9829	DNAJC6
54741	LEPROT
3953	LEPR
5142	PDE4B
101927139	PDE4B-AS1
84251	SGIP1
100422871	MIR3117
200132	TCTEX1D1
10022	INSL5
79819	DNAI4
57708	MIER1
23169	SLC35D1
400757	C1orf141
149233	IL23R
3595	IL12RB2
26135	SERBP1
1647	GADD45A
55970	GNG12
100289178	GNG12-AS1
9077	DIRAS3
79971	WLS
100302279	MIR1262
6121	RPE65
55635	DEPDC1
101927220	DEPDC1-AS1
105378785	LINC01707
105378788	LINC01758
57554	LRRC7
5301	PIN1P1
55631	LRRC40
9295	SRSF11
81573	ANKRD13C
11147	HHLA3
1491	CTH
101927244	LINC01788
5733	PTGER3
9406	ZRANB2
406962	MIR186
257194	NEGR1
100852409	NEGR1-IT1
101927295	LINC01360
127255	LRRIQ3
8790	FPGT
100526835	FPGT-TNNI3K
51086	TNNI3K
105378803	LRRC53
127254	ERICH3
101927320	ERICH3-AS1
1429	CRYZ
127253	TYW3
431707	LHX8
204962	SLC44A5
34	ACADM
5876	RABGGTB
692085	SNORD45C
26805	SNORD45A
26804	SNORD45B
4438	MSH4
127247	ASB17
256435	ST6GALNAC3
110806286	LINC02567
81849	ST6GALNAC5
102466995	MIR7156
10026	PIGK
26289	AK5
26009	ZZZ3
23032	USP33
374986	MIGA1
374987	NEXN-AS1
91624	NEXN
8880	FUBP1
11080	DNAJB4
54810	GIPC2
149047	
5737	PTGFR
10964	IFI44L
10561	IFI44
64123	ADGRL4
101927412	LINC01781
23266	ADGRL2
101927434	
103283057	LINC01362
101927498	LINC01361
101927560	LINC01725
101927587	LINC01725
79739	TTLL7
5567	PRKACB
148418	SAMD13
58511	DNASE2B
80135	RPF1
2787	GNG5
100505741	SPATA1
1486	CTBS
439927	LINC01555
117178	SSX2IP
23566	LPAR3
255231	MCOLN2
126820	DNAI3
55283	MCOLN3
100616481	MIR4423
84144	SYDE2
148423	C1orf52
8915	BCL10
23576	DDAH1
3491	CCN1
54680	ZNHIT6
255631	COL24A1
57489	ODF2L
102465842	MIR7856
9635	CLCA2
1179	CLCA1
22802	CLCA4
9629	CLCA3P
105378828	
51100	SH3GLB1
9403	SELENOF
9653	HS2ST1
339524	LINC01140
101927844	LINC02801
8543	LMO4
100505768	LINC01364
101927891	PKN2-AS1
5586	PKN2
2959	GTF2B
56267	KYAT3
494115	RBMXL1
2635	GBP3
2633	GBP1
2634	GBP2
388646	GBP7
115361	GBP4
115362	GBP5
163351	GBP6
400759	GBP1P1
23507	LRRC8B
400761	LRRC8C-DT
84230	LRRC8C
55144	LRRC8D
284695	ZNF326
109616984	SNORD3G
343472	BARHL2
105378853	LINC02609
84146	ZNF644
164045	HFM1
8317	CDC7
7049	TGFBR3
676	BRDT
253152	EPHX4
646817	SETSIP
284697	BTBD8
388649	C1orf146
11146	GLMN
79871	RPAP2
2672	GFI1
7813	EVI5
6125	RPL5
388650	DIPK1A
6083	SNORD21
26782	SNORA66
22823	MTF2
50999	TMED5
343099	CCDC18
1810	DR1
54874	FNBP1L
8412	BCAR3
723788	BCAR3
100126348	MIR760
30836	DNTTIP2
2730	GCLM
24	ABCA4
9411	ARHGAP29
107985092	ARHGAP29-AS1
5825	ABCD3
2152	F3
101928079	SLC44A3-AS1
100616321	MIR378G
126969	SLC44A3
1266	CNN3
199857	ALG14
101928098	ALG14-AS1
148534	TLCD4
100527978	TLCD4-RWDD3
101928118	
25950	RWDD3
100996630	LINC01760
440594	LINC01761
100996635	LINC02607
102723661	LINC02790
101928241	LINC01787
58155	PTBP2
1806	DPYD
100873932	DPYD-AS1
100873933	DPYD-AS2
400765	MIR137HG
100616452	MIR2682
406928	MIR137
729987	LINC01776
51375	SNX7
163404	PLPPR5
100129620	
9890	PLPPR4
101928270	LINC01708
54873	PALMD
391059	FRRS1
178	AGL
23443	SLC35A3
64645	MFSD14A
163786	SASS6
54482	TRMT13
127495	LRRC39
1629	DBT
8634	RTCA
693138	MIR553
8556	CDC14A
54112	GPR88
7412	VCAM1
2135	EXTL2
148867	SLC30A7
51611	DPH5
1901	S1PR1
104355286	LINC01307
118427	OLFM3
1301	COL11A1
101928436	
55599	RNPC3
280	AMY2B
279	AMY2A
276	AMY1A
277	AMY1B
278	AMY1C
100129138	
101928476	LINC01676
55170	PRMT6
22854	NTNG1
10451	VAV3
102465839	MIR7852
100873946	VAV3-AS1
29957	SLC25A24
148545	NBPF4
653149	NBPF6
284611	FAM102B
113802	HENMT1
55119	PRPF38B
163479	FNDC7
6814	STXBP3
254268	AKNAD1
642864	SPATA42
29899	GPSM2
23155	CLCC1
22911	WDR47
6884	TAF13
56900	TMEM167B
677766	SCARNA2
127003	C1orf194
57535	ELAPOR1
6301	SARS1
1952	CELSR2
84722	PSRC1
343263	MYBPHL
6272	SORT1
5686	PSMA5
284612	SYPL2
127002	ATXN7L2
284613	CYB561D1
57463	AMIGO1
83873	GPR61
2773	GNAI3
406974	MIR197
2780	GNAT2
271	AMPD2
2948	GSTM4
2946	GSTM2
2944	GSTM1
2949	GSTM5
2947	GSTM3
79574	EPS8L3
1435	CSF1
10768	AHCYL1
85369	STRIP1
257	ALX3
104355139	LINC01397
164153	UBL4B
388662	SLC6A17
3749	KCNC4
440600	RBM15-AS1
64783	RBM15
9122	SLC16A4
10542	LAMTOR5
84432	PROK1
643160	CYMP
440602	CYMP-AS1
3744	KCNA10
3737	KCNA2
3738	KCNA3
963	CD53
55791	LRIF1
128338	DRAM2
10390	CEPT1
79961	DENND2D
1117	CHI3L2
149620	CHIAP2
27159	CHIA
128344	PIFO
441897	PGBP
5016	OVGP1
79084	WDR77
515	ATP5PB
128346	C1orf162
57413	TMIGD3
140	ADORA3
5906	RAP1A
55924	INKA2
101928718	
11218	DDX20
3752	KCND3
100874295	KCND3-IT1
643355	LINC01750
105378909	LINC02884
55917	CTTNBP2NL
100422976	MIR4256
7482	WNT2B
54879	ST7L
829	CAPZA1
4343	MOV10
389	RHOC
333926	PPM1J
284467	TAFA3
100996702	LINC01356
6566	SLC16A1
100506392	SLC16A1-AS1
100996251	LRIG2-DT
9860	LRIG2
260425	MAGI3
10745	PHTF1
54665	RSBN1
26191	PTPN22
100287722	AP4B1-AS1
440603	BCL2L15
10717	AP4B1
64858	DCLRE1B
101928846	HIPK1-AS1
204851	HIPK1
56944	OLFML3
148281	SYT6
51592	TRIM33
10286	BCAS2
163259	DENND2C
270	AMPD1
4893	NRAS
7812	CSDE1
80143	SIKE1
6847	SYCP1
7252	TSHB
10100	TSPAN2
112840934	NGF-AS1
4803	NGF
81839	VANGL1
845	CASQ2
4808	NHLH2
55356	SLC22A15
126868	MAB21L3
476	ATP1A1
84852	ATP1A1-AS1
101929023	LINC01762
965	CD58
100616384	MIR548AC
3321	IGSF3
388667	LINC02868
914	CD2
5738	PTGFRN
9398	CD101
101929099	
8458	TTF2
100126331	MIR942
80263	TRIM45
79679	VTCN1
104355292	LINC01525
10905	MAN1A2
54855	TENT5C
54834	GDAP2
10885	WDR3
200162	SPAG17
6913	TBX15
105378933	
10352	WARS2
101929147	WARS2-AS1
105378934	LINC01780
51179	HAO2
100874270	HAO2-IT1
3284	HSD3B2
3283	HSD3B1
644242	LINC00622
90874	ZNF697
26227	PHGDH
3158	HMGCS2
83998	REG4
343505	NBPF7
11085	ADAM30
4853	NOTCH2
9554	SEC22B
728841	NBPF8
767846	PFN1P2
101060684	NBPF26
101954277	RNVU1-19
653505	PPIAL4A
101954264	RNVU1-4
101954268	RNVU1-4
101929798	PDE4DIPP4
653820	FAM72B
653464	SRGAP2C
100873165	SRGAP2-AS1
647121	EMBP1
101954269	RNVU1-17
26863	RNVU1-18
103091866	LINC02591
440686	H3-2
554282	FAM72C
645166	LINC02802
100996732	LINC02802
107985200	LINC02802
101927429	
730262	PPIAL4E
101954267	RNVU1-15
284565	NBPF15
6063	RNVU1-2A
728945	PPIAL4F
647135	SRGAP2B
728833	FAM72D
645142	PPIAL4D
101954266	RNVU1-14
100288142	NBPF20
101929780	NBPF25P
653519	GPR89A
5174	PDZK1
11126	CD160
27246	RNF115
10623	POLR3C
200035	NUDT17
10401	PIAS3
102466191	MIR6736
148741	ANKRD35
8515	ITGA10
8799	PEX11B
9939	RBM8A
114814	GNRHR2
105371260	LIX1L-AS1
128077	LIX1L
284615	ANKRD34A
84265	POLR3GL
10628	TXNIP
148738	HJV
101954276	RNVU1-6
100132406	NBPF10
388677	NOTCH2NLA
105371242	PPIAL4H
100996756	
149013	NBPF12
101447996	RNVU1-8
5565	PRKAB2
2330	FMO5
9557	CHD1L
100289211	LINC00624
607	BCL9
51205	ACP6
2702	GJA5
2703	GJA8
51463	GPR89B
26864	RNVU1-7
200030	NBPF11
100847044	MIR5087
101954273	RNVU1-1
102466225	MIR6077
101954272	RNVU1-3
644591	PPIAL4G
25832	NBPF14
100996763	NOTCH2NLB
440672	NUDT4B
9659	PDE4DIP
400818	NBPF9
100996717	NOTCH2NLC
101060226	NBPF19
653598	PPIAL4C
57234	LINC00869
388692	LINC00869
2209	FCGR1A
440689	H2BC18
653604	H3C13
8370	H4C14
126961	H3C14
8337	H2AC18
723790	H2AC19
333932	H3C15
554313	H4C15
8349	H2BC21
8338	H2AC20
317772	H2AC21
51027	BOLA1
9900	SV2A
10262	SF3B4
10903	MTMR11
56957	OTUD7B
11311	VPS45
51177	PLEKHO1
81611	ANP32E
23632	CA14
51107	APH1A
79630	C1orf54
148523	CIART
54460	MRPS21
9129	PRPF3
23248	RPRD2
80222	TARS2
102465529	MIR6878
1893	ECM1
100874054	FALEC
54507	ADAMTSL4
100422997	MIR4257
4170	MCL1
574406	MCL1
2029	ENSA
55204	GOLPH3L
84072	HORMAD1
1520	CTSS
1513	CTSK
405	ARNT
100996521	CTXND2
9869	SETDB1
29956	CERS2
8416	ANXA9
55793	MINDY1
58497	PRUNE1
149428	BNIPL
54964	C1orf56
